"SECONDS";"PID";"VALUE";"UNITS";
"32033.63618";"[BMS] Accumulated charge energy";"4988";"kWh";
"32033.75918";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32034.75218";"[BMS] Lowest voltage cell #";"200";"";
"32034.88518";"[BMS] Lowest voltage cell value";"3.318";"V";
"32035.05218";"[BMS] Highest voltage cell #";"174";"";
"32035.16718";"[BMS] Highest voltage cell value";"3.323";"V";
"32035.34718";"[BMS] Charge times";"185";"";
"32035.49218";"[BMS] Times off full power [second-rate]";"38";"";
"32035.64718";"[BMS] State of charge actual";"77.3";"%";
"32036.60918";"[BMS] Battery total current";"0";"A";
"32036.78818";"[BMS] Battery total voltage";"664";"V";
"32036.78818";"HV EV Battery Power";"0";"kW";
"32036.96818";"[BMS] Lowest temperature cell value";"30";"℃";
"32037.11118";"[BMS] Highest temperature cell value";"31";"℃";
"32038.04218";"[LVBMS] 12V Battery voltage";"13";"V";
"32038.22318";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32038.34618";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32038.46718";"[BMS] Accumulated charge energy";"4988";"kWh";
"32038.61118";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32039.62418";"[BMS] Lowest voltage cell #";"200";"";
"32039.83618";"[BMS] Lowest voltage cell value";"3.318";"V";
"32039.99818";"[BMS] Highest voltage cell #";"170";"";
"32040.14718";"[BMS] Highest voltage cell value";"3.323";"V";
"32040.29518";"[BMS] Charge times";"185";"";
"32040.44318";"[BMS] Times off full power [second-rate]";"38";"";
"32040.59418";"[BMS] State of charge actual";"77.3";"%";
"32041.51418";"[BMS] Battery total current";"0";"A";
"32041.67218";"[BMS] Battery total voltage";"664";"V";
"32041.67218";"HV EV Battery Power";"0";"kW";
"32041.79718";"[BMS] Lowest temperature cell value";"30";"℃";
"32041.97518";"[BMS] Highest temperature cell value";"31";"℃";
"32042.93518";"[LVBMS] 12V Battery voltage";"13";"V";
"32043.14818";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32043.30318";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32043.47818";"[BMS] Accumulated charge energy";"4988";"kWh";
"32043.60318";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32044.49518";"[BMS] Lowest voltage cell #";"200";"";
"32044.61918";"[BMS] Lowest voltage cell value";"3.318";"V";
"32044.73918";"[BMS] Highest voltage cell #";"3";"";
"32044.86618";"[BMS] Highest voltage cell value";"3.323";"V";
"32045.03418";"[BMS] Charge times";"185";"";
"32045.14918";"[BMS] Times off full power [second-rate]";"38";"";
"32045.27618";"[BMS] State of charge actual";"77.3";"%";
"32046.20618";"[BMS] Battery total current";"0";"A";
"32046.36018";"[BMS] Battery total voltage";"664";"V";
"32046.36018";"HV EV Battery Power";"0";"kW";
"32046.53618";"[BMS] Lowest temperature cell value";"30";"℃";
"32046.66018";"[BMS] Highest temperature cell value";"31";"℃";
"32047.60018";"[LVBMS] 12V Battery voltage";"13";"V";
"32047.83118";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32047.95818";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32048.07218";"[BMS] Accumulated charge energy";"4988";"kWh";
"32048.35418";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32049.67818";"[BMS] Lowest voltage cell #";"200";"";
"32049.79918";"[BMS] Lowest voltage cell value";"3.318";"V";
"32049.91118";"[BMS] Highest voltage cell #";"170";"";
"32050.03418";"[BMS] Highest voltage cell value";"3.323";"V";
"32050.14718";"[BMS] Charge times";"185";"";
"32050.34618";"[BMS] Times off full power [second-rate]";"38";"";
"32050.53218";"[BMS] State of charge actual";"77.3";"%";
"32051.79418";"[BMS] Battery total current";"0";"A";
"32051.95518";"[BMS] Battery total voltage";"664";"V";
"32051.95518";"HV EV Battery Power";"0";"kW";
"32052.08218";"[BMS] Lowest temperature cell value";"30";"℃";
"32052.25718";"[BMS] Highest temperature cell value";"31";"℃";
"32053.15918";"[LVBMS] 12V Battery voltage";"13";"V";
"32053.71418";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32057.08318";"[BMS] Accumulated charge energy";"7756";"kWh";
"32059.61918";"[BMS] Accumulated discharge energy";"4988";"kWh";
"32248.88318";"Altitude (GPS)";"6.39151993955979";"m";
"32248.88318";"Average speed (GPS)";"1.56421296460208";"km/h";
"32248.88318";"Speed (GPS)";"1.7876800775528";"km/h";
"32248.88418";"Altitude (GPS)";"3.89999985694885";"m";
"32248.88418";"Altitude (GPS)";"3.89999985694885";"m";
"32248.88418";"Average speed (GPS)";"1.56420955592789";"km/h";
"32248.88418";"Average speed (GPS)";"1.56420891964368";"km/h";
"32248.88418";"Speed (GPS)";"0";"km/h";
"32248.88418";"Speed (GPS)";"0";"km/h";
"32249.62618";"Altitude (GPS)";"11.0671691894531";"m";
"32249.62618";"Altitude (GPS)";"11.0671691894531";"m";
"32249.62618";"Average speed (GPS)";"1.56000231957279";"km/h";
"32249.62618";"Average speed (GPS)";"1.56000099733549";"km/h";
"32249.62618";"Speed (GPS)";"0";"km/h";
"32249.62618";"Speed (GPS)";"0";"km/h";
"32249.63118";"Altitude (GPS)";"6.63881740050262";"m";
"32249.63118";"Altitude (GPS)";"6.63881740050262";"m";
"32249.63118";"Average speed (GPS)";"1.55998296312173";"km/h";
"32249.63118";"Average speed (GPS)";"1.55998216289168";"km/h";
"32249.63118";"Speed (GPS)";"0.502902603149414";"km/h";
"32249.63118";"Speed (GPS)";"0.502902603149414";"km/h";
"32250.45218";"Altitude (GPS)";"10.8835754394531";"m";
"32250.45218";"Average speed (GPS)";"1.55535797841286";"km/h";
"32250.45218";"Speed (GPS)";"0";"km/h";
"32250.46218";"Altitude (GPS)";"6.50258959327903";"m";
"32250.46218";"Altitude (GPS)";"6.50258959327903";"m";
"32250.46218";"Average speed (GPS)";"1.55531001661639";"km/h";
"32250.46218";"Average speed (GPS)";"1.5553085135236";"km/h";
"32250.46218";"Speed (GPS)";"0.181623905897141";"km/h";
"32250.46218";"Speed (GPS)";"0.181623905897141";"km/h";
"32251.45718";"Altitude (GPS)";"10.8022155761719";"m";
"32251.45718";"Average speed (GPS)";"1.54974267053895";"km/h";
"32251.45718";"Speed (GPS)";"0";"km/h";
"32251.45818";"Average speed (GPS)";"1.54973339518007";"km/h";
"32251.45818";"Speed (GPS)";"0.20718238055706";"km/h";
"32251.45918";"Altitude (GPS)";"6.50258959327903";"m";
"32252.45818";"Altitude (GPS)";"10.794677734375";"m";
"32252.45818";"Average speed (GPS)";"1.54417850485075";"km/h";
"32252.45818";"Speed (GPS)";"0";"km/h";
"32252.46118";"Altitude (GPS)";"6.33494577731688";"m";
"32252.46118";"Average speed (GPS)";"1.54416305479536";"km/h";
"32252.46118";"Speed (GPS)";"0.197967477142811";"km/h";
"32254.24518";"Altitude (GPS)";"3.89999985694885";"m";
"32254.24518";"Average speed (GPS)";"1.53435329544608";"km/h";
"32254.24518";"Speed (GPS)";"0";"km/h";
"32254.25018";"Average speed (GPS)";"1.53432807340049";"km/h";
"32254.25018";"Speed (GPS)";"0.332336077094078";"km/h";
"32254.25118";"Altitude (GPS)";"6.03752310723071";"m";
"32259.21318";"Altitude (GPS)";"3.89999985694885";"m";
"32259.21318";"Average speed (GPS)";"1.50767533986852";"km/h";
"32259.21318";"Speed (GPS)";"0";"km/h";
"32259.22018";"Altitude (GPS)";"6.07734163154902";"m";
"32259.22018";"Average speed (GPS)";"1.50764270418833";"km/h";
"32259.22018";"Speed (GPS)";"0.228963366150856";"km/h";
"32264.25618";"Altitude (GPS)";"3.89999985694885";"m";
"32264.25618";"Average speed (GPS)";"1.48152392183432";"km/h";
"32264.25618";"Speed (GPS)";"0";"km/h";
"32264.27218";"Altitude (GPS)";"6.12327615106754";"m";
"32264.27218";"Average speed (GPS)";"1.48144585598111";"km/h";
"32264.27218";"Speed (GPS)";"0.0225640783086419";"km/h";
"32264.46318";"Altitude (GPS)";"6.11699173088356";"m";
"32264.46318";"Average speed (GPS)";"1.48049080491357";"km/h";
"32264.46318";"Speed (GPS)";"0.0249970832839608";"km/h";
"32269.30818";"Altitude (GPS)";"3.89999985694885";"m";
"32269.30818";"Average speed (GPS)";"1.45623722072288";"km/h";
"32269.30818";"Speed (GPS)";"0";"km/h";
"32269.45118";"Altitude (GPS)";"10.1168518066406";"m";
"32269.45118";"Average speed (GPS)";"1.45553380327003";"km/h";
"32269.45118";"Speed (GPS)";"0";"km/h";
"32274.28618";"Altitude (GPS)";"3.89999985694885";"m";
"32274.28618";"Average speed (GPS)";"1.43213186303432";"km/h";
"32274.28618";"Speed (GPS)";"0";"km/h";
"32274.45818";"Altitude (GPS)";"9.97561645507813";"m";
"32274.45818";"Average speed (GPS)";"1.43131420271673";"km/h";
"32274.45818";"Speed (GPS)";"0";"km/h";
"32274.45918";"Altitude (GPS)";"9.97561645507813";"m";
"32274.45918";"Average speed (GPS)";"1.431310773196";"km/h";
"32274.45918";"Speed (GPS)";"0";"km/h";
"32279.33118";"Altitude (GPS)";"3.89999985694885";"m";
"32279.33118";"Average speed (GPS)";"1.40850265012451";"km/h";
"32279.33118";"Speed (GPS)";"0";"km/h";
"32279.45518";"Altitude (GPS)";"9.82907104492188";"m";
"32279.45518";"Average speed (GPS)";"1.40793484479319";"km/h";
"32279.45518";"Speed (GPS)";"0";"km/h";
"32284.31618";"Altitude (GPS)";"3.89999985694885";"m";
"32284.31618";"Average speed (GPS)";"1.38590802999461";"km/h";
"32284.31618";"Speed (GPS)";"0";"km/h";
"32284.44718";"Altitude (GPS)";"9.6820068359375";"m";
"32284.44718";"Average speed (GPS)";"1.38532574551263";"km/h";
"32284.44718";"Speed (GPS)";"0";"km/h";
"32289.34118";"Altitude (GPS)";"3.89999985694885";"m";
"32289.34118";"Average speed (GPS)";"1.36385583349851";"km/h";
"32289.34118";"Speed (GPS)";"0";"km/h";
"32289.34318";"Altitude (GPS)";"3.89999985694885";"m";
"32289.34318";"Average speed (GPS)";"1.36384666900141";"km/h";
"32289.34318";"Speed (GPS)";"0";"km/h";
"32289.45318";"Altitude (GPS)";"9.54193115234375";"m";
"32289.45318";"Average speed (GPS)";"1.36337278795393";"km/h";
"32289.45318";"Speed (GPS)";"0";"km/h";
"32294.40418";"Altitude (GPS)";"3.89999985694885";"m";
"32294.40418";"Altitude (GPS)";"3.89999985694885";"m";
"32294.40418";"Average speed (GPS)";"1.34233611689501";"km/h";
"32294.40418";"Average speed (GPS)";"1.34233509609352";"km/h";
"32294.40418";"Speed (GPS)";"0";"km/h";
"32294.40418";"Speed (GPS)";"0";"km/h";
"32294.46418";"Altitude (GPS)";"9.3787841796875";"m";
"32294.46418";"Average speed (GPS)";"1.34208486667974";"km/h";
"32294.46418";"Speed (GPS)";"0";"km/h";
"32299.43818";"Altitude (GPS)";"3.89999985694885";"m";
"32299.43818";"Average speed (GPS)";"1.32160058547815";"km/h";
"32299.43818";"Speed (GPS)";"0";"km/h";
"32299.45318";"Altitude (GPS)";"9.28958129882813";"m";
"32299.45318";"Average speed (GPS)";"1.32154157447677";"km/h";
"32299.45318";"Speed (GPS)";"0";"km/h";
"32304.43718";"Altitude (GPS)";"3.89999985694885";"m";
"32304.43718";"Average speed (GPS)";"1.30163295999108";"km/h";
"32304.43718";"Speed (GPS)";"0";"km/h";
"32304.43818";"Altitude (GPS)";"3.89999985694885";"m";
"32304.43818";"Average speed (GPS)";"1.30163216144112";"km/h";
"32304.43818";"Speed (GPS)";"0";"km/h";
"32304.45218";"Altitude (GPS)";"9.15213012695313";"m";
"32304.45218";"Average speed (GPS)";"1.30157681212202";"km/h";
"32304.45218";"Speed (GPS)";"0";"km/h";
"32307.44718";"Altitude (GPS)";"9.04910278320313";"m";
"32307.44718";"Average speed (GPS)";"1.28989916614986";"km/h";
"32307.44718";"Speed (GPS)";"0";"km/h";
"32309.42318";"Altitude (GPS)";"3.89999985694885";"m";
"32309.42318";"Average speed (GPS)";"1.28231180710272";"km/h";
"32309.42318";"Speed (GPS)";"0";"km/h";
"32309.45418";"Altitude (GPS)";"9.00747680664063";"m";
"32309.45418";"Average speed (GPS)";"1.28219464480376";"km/h";
"32309.45418";"Speed (GPS)";"0";"km/h";
"32314.49418";"Altitude (GPS)";"3.89999985694885";"m";
"32314.49418";"Average speed (GPS)";"1.26323777380741";"km/h";
"32314.49418";"Speed (GPS)";"0";"km/h";
"32315.45218";"Altitude (GPS)";"8.78903198242188";"m";
"32315.45218";"Average speed (GPS)";"1.2596986353408";"km/h";
"32315.45218";"Speed (GPS)";"0";"km/h";
"32319.60918";"Altitude (GPS)";"3.89999985694885";"m";
"32319.60918";"Average speed (GPS)";"1.24456713714501";"km/h";
"32319.60918";"Average speed (GPS)";"1.24456610498402";"km/h";
"32319.60918";"Speed (GPS)";"0";"km/h";
"32319.60918";"Speed (GPS)";"0";"km/h";
"32319.61018";"Altitude (GPS)";"3.89999985694885";"m";
"32320.46818";"Altitude (GPS)";"8.66619873046875";"m";
"32320.46818";"Average speed (GPS)";"1.24148679273118";"km/h";
"32320.46818";"Speed (GPS)";"0";"km/h";
"32324.53918";"Altitude (GPS)";"3.89999985694885";"m";
"32324.53918";"Average speed (GPS)";"1.22708749664693";"km/h";
"32324.53918";"Speed (GPS)";"0";"km/h";
"32325.45818";"Altitude (GPS)";"8.52764892578125";"m";
"32325.45818";"Average speed (GPS)";"1.22388332072346";"km/h";
"32325.45818";"Speed (GPS)";"0";"km/h";
"32329.48818";"Altitude (GPS)";"3.89999985694885";"m";
"32329.48818";"Altitude (GPS)";"3.89999985694885";"m";
"32329.48818";"Average speed (GPS)";"1.21002547713005";"km/h";
"32329.48818";"Average speed (GPS)";"1.21002479042634";"km/h";
"32329.48818";"Speed (GPS)";"0";"km/h";
"32329.48818";"Speed (GPS)";"0";"km/h";
"32330.45818";"Altitude (GPS)";"3.89999985694885";"m";
"32330.45818";"Average speed (GPS)";"1.2071434837832";"km/h";
"32330.45818";"Speed (GPS)";"0.149467223882675";"km/h";
"32330.46018";"Altitude (GPS)";"8.39581298828125";"m";
"32330.46018";"Average speed (GPS)";"1.20713676674612";"km/h";
"32330.46018";"Speed (GPS)";"0";"km/h";
"32334.52718";"Altitude (GPS)";"3.89999985694885";"m";
"32334.52718";"Average speed (GPS)";"1.19353572541024";"km/h";
"32334.52718";"Speed (GPS)";"0";"km/h";
"32335.45318";"Altitude (GPS)";"8.27383422851563";"m";
"32335.45318";"Average speed (GPS)";"1.19048214231339";"km/h";
"32335.45318";"Speed (GPS)";"0";"km/h";
"32339.51618";"Altitude (GPS)";"3.89999985694885";"m";
"32339.51618";"Average speed (GPS)";"1.17726476260803";"km/h";
"32339.51618";"Speed (GPS)";"0";"km/h";
"32339.52018";"Altitude (GPS)";"3.89999985694885";"m";
"32339.52018";"Average speed (GPS)";"1.17725188889706";"km/h";
"32339.52018";"Speed (GPS)";"0";"km/h";
"32340.45318";"Altitude (GPS)";"8.14205932617188";"m";
"32340.45318";"Average speed (GPS)";"1.17425738424576";"km/h";
"32340.45318";"Speed (GPS)";"0";"km/h";
"32344.53618";"Altitude (GPS)";"3.89999985694885";"m";
"32344.53618";"Average speed (GPS)";"1.16133467641253";"km/h";
"32344.53618";"Speed (GPS)";"0";"km/h";
"32345.45718";"Altitude (GPS)";"8.01019287109375";"m";
"32345.45718";"Average speed (GPS)";"1.15845849684272";"km/h";
"32345.45718";"Speed (GPS)";"0";"km/h";
"32345.46118";"Altitude (GPS)";"8.01019287109375";"m";
"32345.46118";"Average speed (GPS)";"1.15844552343014";"km/h";
"32345.46118";"Speed (GPS)";"0";"km/h";
"32349.55218";"Altitude (GPS)";"3.89999985694885";"m";
"32349.55218";"Average speed (GPS)";"1.1458435063393";"km/h";
"32349.55218";"Speed (GPS)";"0";"km/h";
"32350.45418";"Altitude (GPS)";"7.88058471679688";"m";
"32350.45418";"Average speed (GPS)";"1.14310085692392";"km/h";
"32350.45418";"Speed (GPS)";"0";"km/h";
"32354.57418";"Altitude (GPS)";"3.89999985694885";"m";
"32354.57418";"Average speed (GPS)";"1.13074015296667";"km/h";
"32354.57418";"Speed (GPS)";"0";"km/h";
"32355.45018";"Altitude (GPS)";"7.75665283203125";"m";
"32355.45018";"Average speed (GPS)";"1.12814690934013";"km/h";
"32355.45018";"Speed (GPS)";"0";"km/h";
"32359.60918";"Altitude (GPS)";"3.89999985694885";"m";
"32359.60918";"Average speed (GPS)";"1.11599246818418";"km/h";
"32359.60918";"Speed (GPS)";"0";"km/h";
"32360.45318";"Altitude (GPS)";"7.62139892578125";"m";
"32360.45318";"Average speed (GPS)";"1.11355882197066";"km/h";
"32360.45318";"Speed (GPS)";"0";"km/h";
"32364.62118";"Altitude (GPS)";"3.89999985694885";"m";
"32364.62118";"Average speed (GPS)";"1.10168898673194";"km/h";
"32364.62118";"Speed (GPS)";"0";"km/h";
"32364.62218";"Altitude (GPS)";"3.89999985694885";"m";
"32364.62218";"Average speed (GPS)";"1.10168673869652";"km/h";
"32364.62218";"Speed (GPS)";"0";"km/h";
"32365.45118";"Altitude (GPS)";"7.47793579101563";"m";
"32365.45118";"Average speed (GPS)";"1.09935567318765";"km/h";
"32365.45118";"Speed (GPS)";"0";"km/h";
"32369.45518";"Altitude (GPS)";"3.89999985694885";"m";
"32369.45518";"Average speed (GPS)";"1.088633430743";"km/h";
"32369.45518";"Speed (GPS)";"0.0390154223889113";"km/h";
"32369.63218";"Altitude (GPS)";"3.89999985694885";"m";
"32369.63218";"Average speed (GPS)";"1.08814757902944";"km/h";
"32369.63218";"Speed (GPS)";"0";"km/h";
"32369.63318";"Altitude (GPS)";"3.89999985694885";"m";
"32369.63318";"Average speed (GPS)";"1.08814415594206";"km/h";
"32369.63318";"Speed (GPS)";"0";"km/h";
"32370.45718";"Altitude (GPS)";"7.35726928710938";"m";
"32370.45718";"Average speed (GPS)";"1.0858838938353";"km/h";
"32370.45718";"Speed (GPS)";"0";"km/h";
"32374.66318";"Altitude (GPS)";"3.89999985694885";"m";
"32374.66318";"Average speed (GPS)";"1.07449876293027";"km/h";
"32374.66318";"Speed (GPS)";"0";"km/h";
"32375.44918";"Altitude (GPS)";"7.2330322265625";"m";
"32375.44918";"Average speed (GPS)";"1.07239613245167";"km/h";
"32375.44918";"Speed (GPS)";"0";"km/h";
"32379.72118";"Altitude (GPS)";"3.89999985694885";"m";
"32379.72118";"Average speed (GPS)";"1.0611187981077";"km/h";
"32379.72118";"Speed (GPS)";"0";"km/h";
"32380.45318";"Altitude (GPS)";"7.11077880859375";"m";
"32380.45318";"Average speed (GPS)";"1.05920937901734";"km/h";
"32380.45318";"Speed (GPS)";"0";"km/h";
"32384.68818";"Altitude (GPS)";"3.89999985694885";"m";
"32384.68818";"Average speed (GPS)";"1.04829854309262";"km/h";
"32384.68818";"Speed (GPS)";"0";"km/h";
"32385.45018";"Altitude (GPS)";"7.01739501953125";"m";
"32385.45018";"Average speed (GPS)";"1.0463584337533";"km/h";
"32385.45018";"Speed (GPS)";"0";"km/h";
"32385.45118";"Altitude (GPS)";"7.01739501953125";"m";
"32385.45118";"Average speed (GPS)";"1.0463560763512";"km/h";
"32385.45118";"Speed (GPS)";"0";"km/h";
"32389.71318";"Altitude (GPS)";"3.89999985694885";"m";
"32389.71318";"Average speed (GPS)";"1.03564010880434";"km/h";
"32389.71318";"Speed (GPS)";"0";"km/h";
"32390.45318";"Altitude (GPS)";"6.9058837890625";"m";
"32390.45318";"Average speed (GPS)";"1.03380292671805";"km/h";
"32390.45318";"Speed (GPS)";"0";"km/h";
"32394.73518";"Altitude (GPS)";"3.89999985694885";"m";
"32394.73518";"Average speed (GPS)";"1.02329126533353";"km/h";
"32394.73518";"Speed (GPS)";"0";"km/h";
"32394.73618";"Altitude (GPS)";"3.89999985694885";"m";
"32394.73618";"Average speed (GPS)";"1.02329009186654";"km/h";
"32394.73618";"Speed (GPS)";"0";"km/h";
"32395.45518";"Altitude (GPS)";"6.7855224609375";"m";
"32395.45518";"Average speed (GPS)";"1.02154616979843";"km/h";
"32395.45518";"Speed (GPS)";"0";"km/h";
"32399.76518";"Altitude (GPS)";"3.89999985694885";"m";
"32399.76518";"Average speed (GPS)";"1.01121682631904";"km/h";
"32399.76518";"Speed (GPS)";"0";"km/h";
"32400.45218";"Altitude (GPS)";"6.67425537109375";"m";
"32400.45218";"Average speed (GPS)";"1.00958812098797";"km/h";
"32400.45218";"Speed (GPS)";"0";"km/h";
"32404.76518";"Altitude (GPS)";"3.89999985694885";"m";
"32404.76518";"Average speed (GPS)";"0.999491574486516";"km/h";
"32404.76518";"Speed (GPS)";"0";"km/h";
"32404.76718";"Altitude (GPS)";"3.89999985694885";"m";
"32404.76718";"Average speed (GPS)";"0.999487244774855";"km/h";
"32404.76718";"Speed (GPS)";"0";"km/h";
"32405.46418";"Altitude (GPS)";"6.57675170898438";"m";
"32405.46418";"Average speed (GPS)";"0.997873273525024";"km/h";
"32405.46418";"Speed (GPS)";"0";"km/h";
"32409.80818";"Altitude (GPS)";"3.89999985694885";"m";
"32409.80818";"Average speed (GPS)";"0.987937776087259";"km/h";
"32409.80818";"Speed (GPS)";"0";"km/h";
"32410.45318";"Altitude (GPS)";"6.52471923828125";"m";
"32410.45318";"Average speed (GPS)";"0.986477892289106";"km/h";
"32410.45318";"Speed (GPS)";"0";"km/h";
"32410.46018";"Altitude (GPS)";"3.89999985694885";"m";
"32410.46018";"Average speed (GPS)";"0.986463356591574";"km/h";
"32410.46018";"Speed (GPS)";"0.0992437787353992";"km/h";
"32414.80018";"Altitude (GPS)";"3.89999985694885";"m";
"32414.80018";"Average speed (GPS)";"0.976762222913442";"km/h";
"32414.80018";"Speed (GPS)";"0";"km/h";
"32415.45718";"Altitude (GPS)";"6.46481323242188";"m";
"32415.45718";"Average speed (GPS)";"0.975309488475346";"km/h";
"32415.45718";"Speed (GPS)";"0";"km/h";
"32419.82918";"Altitude (GPS)";"3.89999985694885";"m";
"32419.82918";"Average speed (GPS)";"0.965755195440713";"km/h";
"32419.82918";"Speed (GPS)";"0";"km/h";
"32420.45118";"Altitude (GPS)";"6.39654541015625";"m";
"32420.45118";"Average speed (GPS)";"0.964410949369371";"km/h";
"32420.45118";"Speed (GPS)";"0";"km/h";
"32424.85018";"Altitude (GPS)";"3.89999985694885";"m";
"32424.85018";"Average speed (GPS)";"0.955009964021779";"km/h";
"32424.85018";"Speed (GPS)";"0";"km/h";
"32425.45018";"Altitude (GPS)";"6.32949829101563";"m";
"32425.45018";"Average speed (GPS)";"0.953741634408812";"km/h";
"32425.45018";"Speed (GPS)";"0";"km/h";
"32429.84918";"Altitude (GPS)";"3.89999985694885";"m";
"32429.84918";"Average speed (GPS)";"0.944548113885599";"km/h";
"32429.84918";"Speed (GPS)";"0";"km/h";
"32430.45818";"Altitude (GPS)";"6.26263427734375";"m";
"32430.45818";"Average speed (GPS)";"0.943288613004682";"km/h";
"32430.45818";"Speed (GPS)";"0";"km/h";
"32434.86618";"Altitude (GPS)";"3.89999985694885";"m";
"32434.86618";"Average speed (GPS)";"0.934276249638452";"km/h";
"32434.86618";"Speed (GPS)";"0";"km/h";
"32435.44818";"Altitude (GPS)";"6.21304321289063";"m";
"32435.44818";"Average speed (GPS)";"0.93309900510117";"km/h";
"32435.44818";"Speed (GPS)";"0";"km/h";
"32435.44918";"Altitude (GPS)";"6.21304321289063";"m";
"32435.44918";"Average speed (GPS)";"0.933097223345282";"km/h";
"32435.44918";"Speed (GPS)";"0";"km/h";
"32439.92818";"Altitude (GPS)";"3.89999985694885";"m";
"32439.92818";"Average speed (GPS)";"0.924134950021198";"km/h";
"32439.92818";"Speed (GPS)";"0";"km/h";
"32440.45818";"Altitude (GPS)";"6.166015625";"m";
"32440.45818";"Average speed (GPS)";"0.923086383870817";"km/h";
"32440.45818";"Speed (GPS)";"0";"km/h";
"32440.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32440.46518";"Average speed (GPS)";"0.923293645246616";"km/h";
"32440.46518";"Speed (GPS)";"14.2418037414551";"km/h";
"32440.46618";"Altitude (GPS)";"3.89999985694885";"m";
"32440.46618";"Average speed (GPS)";"0.923323995118565";"km/h";
"32440.46618";"Speed (GPS)";"14.2418037414551";"km/h";
"32441.45418";"Altitude (GPS)";"6.15890502929688";"m";
"32441.45418";"Average speed (GPS)";"0.921374605256467";"km/h";
"32441.45418";"Speed (GPS)";"0";"km/h";
"32441.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32441.46118";"Average speed (GPS)";"0.921549338886084";"km/h";
"32441.46118";"Speed (GPS)";"12.3244577407837";"km/h";
"32441.46318";"Altitude (GPS)";"3.89999985694885";"m";
"32441.46318";"Average speed (GPS)";"0.921597103353529";"km/h";
"32441.46318";"Speed (GPS)";"12.3244577407837";"km/h";
"32442.45218";"Altitude (GPS)";"6.15667724609375";"m";
"32442.45218";"Average speed (GPS)";"0.919653152843111";"km/h";
"32442.45218";"Speed (GPS)";"0";"km/h";
"32442.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32442.46518";"Average speed (GPS)";"0.919820696524675";"km/h";
"32442.46518";"Speed (GPS)";"7.11799650192261";"km/h";
"32443.45618";"Altitude (GPS)";"6.15283203125";"m";
"32443.45618";"Average speed (GPS)";"0.917880872919567";"km/h";
"32443.45618";"Speed (GPS)";"0";"km/h";
"32443.46318";"Altitude (GPS)";"3.89999985694885";"m";
"32443.46318";"Average speed (GPS)";"0.917914060521574";"km/h";
"32443.46318";"Speed (GPS)";"3.19690046310425";"km/h";
"32444.46118";"Average speed (GPS)";"0.915967300655725";"km/h";
"32444.46118";"Speed (GPS)";"0";"km/h";
"32444.46218";"Altitude (GPS)";"6.15048217773438";"m";
"32444.46318";"Altitude (GPS)";"3.89999985694885";"m";
"32444.46318";"Average speed (GPS)";"0.915967908113299";"km/h";
"32444.46318";"Speed (GPS)";"1.09610627889633";"km/h";
"32444.90018";"Altitude (GPS)";"3.89999985694885";"m";
"32444.90018";"Average speed (GPS)";"0.915118815506709";"km/h";
"32444.90018";"Speed (GPS)";"0";"km/h";
"32445.45018";"Altitude (GPS)";"6.12042236328125";"m";
"32445.45018";"Average speed (GPS)";"0.914051728045583";"km/h";
"32445.45018";"Speed (GPS)";"0";"km/h";
"32445.46018";"Altitude (GPS)";"3.89999985694885";"m";
"32445.46018";"Average speed (GPS)";"0.91404663972743";"km/h";
"32445.46018";"Speed (GPS)";"0.656905174255371";"km/h";
"32446.45118";"Altitude (GPS)";"6.11676025390625";"m";
"32446.45118";"Average speed (GPS)";"0.912129597332259";"km/h";
"32446.45118";"Speed (GPS)";"0";"km/h";
"32446.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32446.46518";"Average speed (GPS)";"0.912112042139462";"km/h";
"32446.46518";"Speed (GPS)";"0.318355464935303";"km/h";
"32447.45418";"Altitude (GPS)";"6.11196899414063";"m";
"32447.45418";"Average speed (GPS)";"0.910209584059637";"km/h";
"32447.45418";"Speed (GPS)";"0";"km/h";
"32447.45818";"Altitude (GPS)";"3.89999985694885";"m";
"32447.45818";"Average speed (GPS)";"0.910202915304466";"km/h";
"32447.45818";"Speed (GPS)";"0.120705091953278";"km/h";
"32448.45618";"Altitude (GPS)";"6.10897827148438";"m";
"32448.45618";"Average speed (GPS)";"0.908290045780856";"km/h";
"32448.45618";"Speed (GPS)";"0";"km/h";
"32448.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32448.46518";"Average speed (GPS)";"0.908273183490762";"km/h";
"32448.46518";"Speed (GPS)";"0.031449668481946";"km/h";
"32449.45718";"Altitude (GPS)";"6.10379028320313";"m";
"32449.45718";"Average speed (GPS)";"0.906379320018213";"km/h";
